;Cidade;Latitude;Longitude;Vontade de visitar
0;New York, USA;40.7128;-74.006;1
1;Tokyo, Japan;35.6762;139.6503;7
2;Paris, France;48.8566;2.3522;8
3;Sydney, Australia;-33.8688;151.2093;5
4;Rio de Janeiro, Brazil;-22.9068;-43.1729;7
5;Cairo, Egypt;30.0444;31.2357;0
6;Berlin, Germany;52.52;13.405;2
7;Moscow, Russia;55.7558;37.6173;5
8;Beijing, China;39.9042;116.4074;0
9;Cape Town, South Africa;-33.9249;18.4241;10
10;Toronto, Canada;43.6511;-79.3837;5
11;Buenos Aires, Argentina;-34.6037;-58.3816;10
12;Mexico City, Mexico;19.4326;-99.1332;9
13;Istanbul, Turkey;41.0082;28.9784;9
14;Bangkok, Thailand;13.7563;100.5018;10
